"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"5012","424","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"3584","388","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"6529","533","1400000US06037101210","Census Tract 1012.10, Los Angeles County, California"
"2751","319","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"4123","332","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"3846","318","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"1726","225","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"3483","315","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"1701","439","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
"3571","339","1400000US06037102107","Census Tract 1021.07, Los Angeles County, California"
"2945","236","1400000US06037103101","Census Tract 1031.01, Los Angeles County, California"
"4787","403","1400000US06037103102","Census Tract 1031.02, Los Angeles County, California"
"7172","761","1400000US06037103200","Census Tract 1032, Los Angeles County, California"
"3332","441","1400000US06037103300","Census Tract 1033, Los Angeles County, California"
"7085","656","1400000US06037103400","Census Tract 1034, Los Angeles County, California"
"3598","464","1400000US06037104103","Census Tract 1041.03, Los Angeles County, California"
"5304","551","1400000US06037104105","Census Tract 1041.05, Los Angeles County, California"
"4976","638","1400000US06037104108","Census Tract 1041.08, Los Angeles County, California"
"3604","455","1400000US06037104124","Census Tract 1041.24, Los Angeles County, California"
"4303","539","1400000US06037104201","Census Tract 1042.01, Los Angeles County, California"
"4721","474","1400000US06037104203","Census Tract 1042.03, Los Angeles County, California"
"3373","450","1400000US06037104204","Census Tract 1042.04, Los Angeles County, California"
"5204","507","1400000US06037104310","Census Tract 1043.10, Los Angeles County, California"
"5608","791","1400000US06037104320","Census Tract 1043.20, Los Angeles County, California"
"3113","604","1400000US06037104401","Census Tract 1044.01, Los Angeles County, California"
"3163","745","1400000US06037104403","Census Tract 1044.03, Los Angeles County, California"
"2912","526","1400000US06037104404","Census Tract 1044.04, Los Angeles County, California"
"3010","354","1400000US06037104500","Census Tract 1045, Los Angeles County, California"
"3216","321","1400000US06037104610","Census Tract 1046.10, Los Angeles County, California"
"3242","361","1400000US06037104620","Census Tract 1046.20, Los Angeles County, California"
