"B05007_001E","B05007_001M","B05007_002E","B05007_002M","B05007_003E","B05007_003M","B05007_004E","B05007_004M","B05007_005E","B05007_005M","B05007_006E","B05007_006M","B05007_007E","B05007_007M","B05007_008E","B05007_008M","B05007_009E","B05007_009M","B05007_010E","B05007_010M","B05007_011E","B05007_011M","B05007_012E","B05007_012M","B05007_013E","B05007_013M","B05007_014E","B05007_014M","B05007_015E","B05007_015M","B05007_016E","B05007_016M","B05007_017E","B05007_017M","B05007_018E","B05007_018M","B05007_019E","B05007_019M","B05007_020E","B05007_020M","B05007_021E","B05007_021M","B05007_022E","B05007_022M","B05007_023E","B05007_023M","B05007_024E","B05007_024M","B05007_025E","B05007_025M","B05007_026E","B05007_026M","B05007_027E","B05007_027M","B05007_028E","B05007_028M","B05007_029E","B05007_029M","B05007_030E","B05007_030M","B05007_031E","B05007_031M","B05007_032E","B05007_032M","B05007_033E","B05007_033M","B05007_034E","B05007_034M","B05007_035E","B05007_035M","B05007_036E","B05007_036M","B05007_037E","B05007_037M","B05007_038E","B05007_038M","B05007_039E","B05007_039M","B05007_040E","B05007_040M","B05007_041E","B05007_041M","B05007_042E","B05007_042M","B05007_043E","B05007_043M","B05007_044E","B05007_044M","B05007_045E","B05007_045M","B05007_046E","B05007_046M","B05007_047E","B05007_047M","B05007_048E","B05007_048M","B05007_049E","B05007_049M","B05007_050E","B05007_050M","B05007_051E","B05007_051M","B05007_052E","B05007_052M","B05007_053E","B05007_053M","B05007_054E","B05007_054M","B05007_055E","B05007_055M","B05007_056E","B05007_056M","B05007_057E","B05007_057M","B05007_058E","B05007_058M","B05007_059E","B05007_059M","B05007_060E","B05007_060M","B05007_061E","B05007_061M","B05007_062E","B05007_062M","B05007_063E","B05007_063M","B05007_064E","B05007_064M","B05007_065E","B05007_065M","B05007_066E","B05007_066M","B05007_067E","B05007_067M","B05007_068E","B05007_068M","B05007_069E","B05007_069M","B05007_070E","B05007_070M","B05007_071E","B05007_071M","B05007_072E","B05007_072M","B05007_073E","B05007_073M","B05007_074E","B05007_074M","B05007_075E","B05007_075M","B05007_076E","B05007_076M","B05007_077E","B05007_077M","B05007_078E","B05007_078M","B05007_079E","B05007_079M","B05007_080E","B05007_080M","B05007_081E","B05007_081M","B05007_082E","B05007_082M","B05007_083E","B05007_083M","B05007_084E","B05007_084M","B05007_085E","B05007_085M","B05007_086E","B05007_086M","B05007_087E","B05007_087M","B05007_088E","B05007_088M","B05007_089E","B05007_089M","B05007_090E","B05007_090M","B05007_091E","B05007_091M","B05007_092E","B05007_092M","B05007_093E","B05007_093M","B05007_094E","B05007_094M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Europe","Margin of Error!!Total!!Europe","Estimate!!Total!!Europe!!Entered 2000 or later","Margin of Error!!Total!!Europe!!Entered 2000 or later","Estimate!!Total!!Europe!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Europe!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Europe!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Europe!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Europe!!Entered 1990 to 1999","Margin of Error!!Total!!Europe!!Entered 1990 to 1999","Estimate!!Total!!Europe!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Europe!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Europe!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Europe!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Europe!!Entered 1980 to 1989","Margin of Error!!Total!!Europe!!Entered 1980 to 1989","Estimate!!Total!!Europe!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Europe!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Europe!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Europe!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Europe!!Entered before 1980","Margin of Error!!Total!!Europe!!Entered before 1980","Estimate!!Total!!Europe!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Europe!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Europe!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Europe!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Asia","Margin of Error!!Total!!Asia","Estimate!!Total!!Asia!!Entered 2000 or later","Margin of Error!!Total!!Asia!!Entered 2000 or later","Estimate!!Total!!Asia!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Asia!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Asia!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Asia!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Asia!!Entered 1990 to 1999","Margin of Error!!Total!!Asia!!Entered 1990 to 1999","Estimate!!Total!!Asia!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Asia!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Asia!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Asia!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Asia!!Entered 1980 to 1989","Margin of Error!!Total!!Asia!!Entered 1980 to 1989","Estimate!!Total!!Asia!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Asia!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Asia!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Asia!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Asia!!Entered before 1980","Margin of Error!!Total!!Asia!!Entered before 1980","Estimate!!Total!!Asia!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Asia!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Asia!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Asia!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Latin America","Margin of Error!!Total!!Latin America","Estimate!!Total!!Latin America!!Caribbean","Margin of Error!!Total!!Latin America!!Caribbean","Estimate!!Total!!Latin America!!Caribbean!!Entered 2000 or later","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 2000 or later","Estimate!!Total!!Latin America!!Caribbean!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999","Estimate!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989","Estimate!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered before 1980","Margin of Error!!Total!!Latin America!!Caribbean!!Entered before 1980","Estimate!!Total!!Latin America!!Caribbean!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Caribbean!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Caribbean!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America","Margin of Error!!Total!!Latin America!!Central America","Estimate!!Total!!Latin America!!Central America!!Mexico","Margin of Error!!Total!!Latin America!!Central America!!Mexico","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Mexico!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America","Margin of Error!!Total!!Latin America!!Central America!!Other Central America","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!Central America!!Other Central America!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Latin America!!South America","Margin of Error!!Total!!Latin America!!South America","Estimate!!Total!!Latin America!!South America!!Entered 2000 or later","Margin of Error!!Total!!Latin America!!South America!!Entered 2000 or later","Estimate!!Total!!Latin America!!South America!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered 1990 to 1999","Margin of Error!!Total!!Latin America!!South America!!Entered 1990 to 1999","Estimate!!Total!!Latin America!!South America!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered 1980 to 1989","Margin of Error!!Total!!Latin America!!South America!!Entered 1980 to 1989","Estimate!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered before 1980","Margin of Error!!Total!!Latin America!!South America!!Entered before 1980","Estimate!!Total!!Latin America!!South America!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Latin America!!South America!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Latin America!!South America!!Entered before 1980!!Not a U.S. citizen","Estimate!!Total!!Other areas","Margin of Error!!Total!!Other areas","Estimate!!Total!!Other areas!!Entered 2000 or later","Margin of Error!!Total!!Other areas!!Entered 2000 or later","Estimate!!Total!!Other areas!!Entered 2000 or later!!Naturalized U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 2000 or later!!Naturalized U.S. citizen","Estimate!!Total!!Other areas!!Entered 2000 or later!!Not a U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 2000 or later!!Not a U.S. citizen","Estimate!!Total!!Other areas!!Entered 1990 to 1999","Margin of Error!!Total!!Other areas!!Entered 1990 to 1999","Estimate!!Total!!Other areas!!Entered 1990 to 1999!!Naturalized U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 1990 to 1999!!Naturalized U.S. citizen","Estimate!!Total!!Other areas!!Entered 1990 to 1999!!Not a U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 1990 to 1999!!Not a U.S. citizen","Estimate!!Total!!Other areas!!Entered 1980 to 1989","Margin of Error!!Total!!Other areas!!Entered 1980 to 1989","Estimate!!Total!!Other areas!!Entered 1980 to 1989!!Naturalized U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 1980 to 1989!!Naturalized U.S. citizen","Estimate!!Total!!Other areas!!Entered 1980 to 1989!!Not a U.S. citizen","Margin of Error!!Total!!Other areas!!Entered 1980 to 1989!!Not a U.S. citizen","Estimate!!Total!!Other areas!!Entered before 1980","Margin of Error!!Total!!Other areas!!Entered before 1980","Estimate!!Total!!Other areas!!Entered before 1980!!Naturalized U.S. citizen","Margin of Error!!Total!!Other areas!!Entered before 1980!!Naturalized U.S. citizen","Estimate!!Total!!Other areas!!Entered before 1980!!Not a U.S. citizen","Margin of Error!!Total!!Other areas!!Entered before 1980!!Not a U.S. citizen","id","Geographic Area Name"
"2027","394","93","56","15","17","7","10","8","13","26","20","8","13","18","20","15","17","15","17","0","95","37","42","37","42","0","95","1467","383","303","246","149","192","154","138","293","159","143","89","150","121","657","276","604","276","53","53","214","113","207","111","7","10","449","160","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","412","159","137","92","42","52","0","95","42","52","51","52","0","95","51","52","31","34","0","95","31","34","13","18","9","12","4","8","275","149","55","56","0","95","55","56","48","67","0","95","48","67","143","90","66","62","77","65","29","37","29","37","0","95","37","33","8","13","0","95","8","13","12","22","12","22","0","95","8","13","8","13","0","95","9","14","9","14","0","95","18","22","9","14","0","95","9","14","9","16","0","95","9","16","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037101110","Census Tract 1011.10, Los Angeles County, California"
"1254","318","144","80","0","95","0","95","0","95","60","56","25","40","35","42","19","21","0","95","19","21","65","50","65","50","0","95","1026","289","87","69","55","55","32","42","229","166","210","164","19","30","583","216","506","218","77","47","127","72","127","72","0","95","66","56","8","13","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","8","13","8","13","0","95","46","46","34","32","0","95","0","95","0","95","25","28","12","19","13","19","0","95","0","95","0","95","9","15","9","15","0","95","12","19","0","95","0","95","0","95","0","95","0","95","0","95","12","19","12","19","0","95","0","95","0","95","0","95","12","20","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","12","20","12","20","0","95","18","21","0","95","0","95","0","95","0","95","0","95","0","95","9","15","9","15","0","95","9","14","0","95","9","14","1400000US06037101122","Census Tract 1011.22, Los Angeles County, California"
"3471","547","39","40","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","39","40","39","40","0","95","1919","352","561","221","123","80","438","217","790","240","437","173","353","210","453","168","333","152","120","92","115","82","115","82","0","95","1458","493","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1420","494","710","331","65","74","0","95","65","74","512","306","0","95","512","306","106","84","24","35","82","76","27","29","27","29","0","95","710","417","512","363","0","95","512","363","110","123","0","95","110","123","71","86","0","95","71","86","17","23","4","9","13","21","38","37","0","95","0","95","0","95","13","21","13","21","0","95","13","22","13","22","0","95","12","21","12","21","0","95","55","59","30","46","0","95","30","46","25","39","0","95","25","39","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037101210","Census Tract 1012.10, Los Angeles County, California"
"1242","243","61","54","0","95","0","95","0","95","5","7","5","7","0","95","33","48","33","48","0","95","23","25","11","17","12","18","673","185","98","87","8","15","90","82","247","130","156","105","91","72","283","146","275","146","8","12","45","43","27","35","18","21","437","85","10","16","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","10","16","10","16","0","95","419","85","313","89","78","60","0","95","78","60","39","42","20","26","19","30","80","72","71","71","9","16","116","83","65","55","51","73","106","63","0","95","0","95","0","95","0","95","0","95","0","95","39","30","30","28","9","17","67","61","34","42","33","51","8","13","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","8","13","8","13","0","95","71","111","71","111","0","95","71","111","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037101220","Census Tract 1012.20, Los Angeles County, California"
"1374","411","97","66","0","95","0","95","0","95","33","42","25","40","8","13","19","22","10","16","9","15","45","41","29","31","16","17","1168","412","141","99","15","23","126","92","481","289","220","117","261","277","357","148","312","146","45","43","189","118","162","117","27","32","62","39","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","22","25","22","25","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","22","25","22","25","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","40","31","0","95","0","95","0","95","10","15","10","15","0","95","0","95","0","95","0","95","30","22","30","22","0","95","47","49","15","22","0","95","15","22","14","23","14","23","0","95","0","95","0","95","0","95","18","15","9","14","9","14","1400000US06037101300","Census Tract 1013, Los Angeles County, California"
"1705","316","196","124","54","70","0","95","54","70","26","33","6","13","20","31","72","93","72","93","0","95","44","36","35","34","9","15","1180","328","209","143","101","99","108","93","256","147","212","137","44","44","597","254","510","202","87","77","118","71","118","71","0","95","234","103","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","227","102","165","119","0","95","0","95","0","95","0","95","0","95","0","95","109","86","31","38","78","68","56","47","35","39","21","32","62","50","0","95","0","95","0","95","0","95","0","95","0","95","53","46","53","46","0","95","9","14","0","95","9","14","7","12","0","95","0","95","0","95","0","95","0","95","0","95","7","12","0","95","7","12","0","95","0","95","0","95","95","75","52","68","0","95","52","68","23","34","0","95","23","34","6","14","6","14","0","95","14","23","14","23","0","95","1400000US06037101400","Census Tract 1014, Los Angeles County, California"
"739","246","37","60","0","95","0","95","0","95","18","30","18","30","0","95","0","95","0","95","0","95","19","30","19","30","0","95","513","224","0","95","0","95","0","95","149","183","135","180","14","30","271","166","271","166","0","95","93","103","93","103","0","95","189","98","14","24","0","95","0","95","0","95","0","95","0","95","0","95","14","24","0","95","14","24","0","95","0","95","0","95","175","100","82","59","0","95","0","95","0","95","44","39","0","95","44","39","0","95","0","95","0","95","38","60","38","60","0","95","93","112","27","39","0","95","27","39","0","95","0","95","0","95","26","39","26","39","0","95","40","44","40","44","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037102103","Census Tract 1021.03, Los Angeles County, California"
"1533","380","246","191","0","95","0","95","0","95","152","146","152","146","0","95","42","50","29","51","13","23","52","49","52","49","0","95","1170","369","121","134","23","41","98","97","671","313","639","303","32","50","326","183","261","188","65","67","52","59","52","59","0","95","103","99","35","47","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","35","47","35","47","0","95","35","49","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","35","49","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","35","49","35","49","0","95","33","44","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","33","44","33","44","0","95","14","28","0","95","0","95","0","95","0","95","0","95","0","95","14","28","14","28","0","95","0","95","0","95","0","95","1400000US06037102104","Census Tract 1021.04, Los Angeles County, California"
"634","285","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","75","106","39","79","0","95","39","79","15","30","0","95","15","30","21","32","21","32","0","95","0","95","0","95","0","95","559","238","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","559","238","462","235","53","81","0","95","53","81","49","75","0","95","49","75","19","32","19","32","0","95","341","136","254","120","87","88","97","105","0","95","0","95","0","95","42","75","21","38","21","37","16","28","0","95","16","28","39","51","39","51","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","0","95","1400000US06037102105","Census Tract 1021.05, Los Angeles County, California"
